judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Julian D Schreibman,Supreme Court Justice,,2018-01-01,2031-12-31,Ulster,3rd Judicial District,2018,,,,,,3/SJ/SUP
Keisha M Alleyne,Supreme Court Justice,,2025-01-01,2038-12-31,Kings,Kings Supreme,2025,,,,,,
Matthew J D'Emic,,ADMNV JGE,,,Kings,Kings Supreme,1996,,,"ADMNV JUDGE, CERT",2023-01-01,2028-12-31,AJ/KG/SUP/CR
Elizabeth A Garry,Supreme Court Justice,"PRES JUS, AP DIV",2021-01-01,2032-12-31,Albany,Appellate Division 3rd Department,2007,,,,,,ADP/03/01
Jorge S Derosas,Supreme Court Justice,,2026-01-01,2039-12-31,Erie,8th Judicial District,2026,,,,,,
Aletha V Fields,Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Suffolk,10th Judicial District - Suffolk,2023,,,,,,
Gregory J McCaffrey,Court of Claims Judge,SUP CT JUSTICE,2025-06-10,2034-05-14,Ontario,7th Judicial District,2025,,,,,,
Julio RodriguezIII,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Appellate Division 1st Department,2016,,,,,,ADT/01/07
Kenneth P Sherman,Supreme Court Justice,,2014-01-01,2027-12-31,Kings,Kings Supreme,2014,,,,,,
Adam Silvera,Supreme Court Justice,DEP CHFADMNVJGECTSNYC,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,DCAJ/NYC
Joseph D Waldorf,Supreme Court Justice,,2024-01-01,2037-12-31,Monroe,7th Judicial District,2024,,,,,,
Peter Weinmann,Court of Claims Judge,,2024-11-01,2031-12-31,Erie,8th Judicial District,2024,,,,,,
Phaedra F Perry,Supreme Court Justice,,2024-01-01,2036-12-31,New York,NYC Supreme Civil,2024,,,,,,
David J Squirrell,Supreme Court Justice,,2023-01-01,2036-12-31,Westchester,9th Judicial District,2023,,,,,,
Kevin P Kuehner,Supreme Court Justice,,2023-01-01,2036-12-31,Onondaga,5th Judicial District,2023,,,,,,
Heela D Capell,Supreme Court Justice,,2024-01-01,2037-12-31,Kings,Kings Supreme,2024,,,,,,
Brendan T Lantry,Supreme Court Justice,,2023-01-01,2036-12-31,New York,NYC Supreme Criminal,2023,,,,,,
Darlene Goldberg,Court of Claims Judge,,2025-06-10,2032-07-31,Bronx,Bronx Supreme Criminal,2025,,,,,,
Conrad D Singer,Supreme Court Justice,,2022-01-01,2032-12-31,Nassau,10th Judicial District - Nassau,2022,,,,,,
Gina LevyAbadi,Supreme Court Justice,,2022-01-01,2035-12-31,Kings,Kings Supreme,2022,,,,,,
Deborah A Chimes,Supreme Court Justice,,2025-01-01,2033-12-31,Erie,8th Judicial District,2011,,,,,,
Alexandra D Murphy,Supreme Court Justice,,2021-01-01,2034-12-31,Westchester,9th Judicial District,2021,,,,,,
Joseph J Esposito,,,,,Queens,Queens Supreme,2017,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,
Delsia G Marshall,Supreme Court Justice,,2025-01-01,2026-12-31,Queens,Queens Supreme,2025,,,,,,
