judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Jaime C Louridas,Family Court Judge,,2025-01-01,2034-12-31,Albany,Albany County Family Court,2025,,,,,,
Pamela A Goldsmith,Criminal Court Judge NYC,ACT SUP CT JUS,2023-04-19,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,
Jessica Segal,County Judge,,2021-01-01,2030-12-31,Dutchess,Dutchess County Supreme Court,2021,,,,,,
Hemalee J Patel,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Debra J Young,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Rensselaer,Rensselaer County Court,2013,,,,,,
Mark H Young,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Broome,Broome County Family Court,2015,,,,,,
Ariel D Chesler,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,
Turquoise Haskin,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,
Sheridan C Chu,Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,
Caroline Wojtaszek,County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Niagara,Niagara County Court,2021,,,,,,
Danielle R Browne,City Court Judge,,2026-01-01,2035-12-31,Westchester,Mount Vernon City Court,2026,,,,,,
Matthew A Bondy,Civil Court Judge NYC,,2023-01-01,2032-12-31,New York,"NYC Civil Ct, New York County",2023,,,,,,
Joshua Farrell,City Court Judge,,2017-01-01,2026-12-31,Albany,"Albany City Court, Criminal Pt",2016,,,,,,
Emily MoralesMinerva,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Supreme Court,2017,,,,,,
Aija Tingling,Civil Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,New York,New York County Supreme Court,2017,,,,,,
Kim Petersen,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2016,,,,,,
Kevin A Burke,Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Schenectady,Schenectady County Family Ct,2014,,,,,,
Beverly S Tatham,Civil Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Criminal Court,2023,,,,,,
Marc Pallozzi,City Court Judge,,2023-01-01,2028-12-31,Rensselaer,Troy City Court,2023,,,,,,
Caryn R Fink,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau,Nassau County Court,2021,,,,,,
Thomas Benedetto,Family Court Judge,,2020-01-01,2029-12-31,Oswego,Oswego County Family Court,2020,,,,,,
Jonathan R Bloom,District Court Judge,,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2022,,,,,,
Tamiko A Amaker,Criminal Court Judge NYC,ADMNV JGE,2017-01-01,2026-12-31,New York,New York County Criminal Court,2010,,,,,,
Janet L McFarland,Family Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Family Court,2021,,,,,,
Gail A Adams,Civil Court Judge NYC,ACT FAM CT JGE,2026-01-01,2035-12-31,Queens,Queens County Family Court,2026,,,,,,
Matthew V Grieco,Criminal Court Judge NYC,ACT SUP CT JUS,,2034-12-31,New York,"NYC Civil Ct, New York County",2023,,,,,,
Jennifer Saint Preux,Criminal Court Judge NYC,,2025-10-21,2026-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,
Thomas G Leone,County Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Cayuga,Cayuga County Family Ct(M-B),2007,,,,,,
Allison J Nelson,Family Court Judge,,2019-01-01,2028-12-31,Oswego,Oswego County Family Court,2019,,,,,,
Andrew C LoTempio,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Erie,Buffalo City Court,2018,,,,,,
Peter F DeLizzo,Family Court Judge NYC,,2025-01-01,2031-12-31,Richmond,Richmond County Surrogates Ct,2015,,,,,,
Jason J Cafarella,City Court Judge,,2026-01-01,2035-12-31,Niagara,Niagara Falls City Court,2024,,,,,,
William Miller,City Court Judge,,2019-01-01,2028-12-31,Nassau,Long Beach City Court,2019,,,,,,
Elenor C Reid,Family Court Judge NYC,,2021-04-01,2031-03-31,Queens,Queens County Family Court,2017,,,,,,
Danielle M Restaino,City Court Chief Judge,,2026-01-01,2035-12-31,Niagara,Niagara Falls City Court,2016,,,,,,
Erik S Pitchal,Family Court Judge NYC,,2017-12-27,2027-12-26,Kings,Kings Supreme Criminal,2013,,,,,,
John N McPadden,Criminal Court Judge NYC,,2023-04-19,2032-12-31,Kings,"NYC Criminal Ct, Kings County",2023,,,,,,
Justin F Brotherton,Family Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Family Court,2025,,,,,,
Theodore H Limpert,County Judge,,2023-01-01,2029-12-31,Onondaga,Onondaga County Court,2009,,,,,,
Erik L Gray,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2020,,,,,,
Christine P Krahulik,Family Court Judge,,2025-01-01,2034-12-31,Orange,Orange County Family Court,2015,,,,,,
Mary L Bejarano,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,
Valerie A Livingston,City Court Judge,,2023-01-01,2032-12-31,Westchester,Rye City Court,2020,,,,,,
Ann M Magnarelli,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Onondaga,Syracuse City Court,2019,,,,,,
Michelle K Bernstein,City Court Judge,,2026-01-01,2035-12-31,Westchester,New Rochelle City Court,2024,,,,,,
David W Wright,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 4th Dist",2021,,,,,,
Juanita E Wing,Family Court Judge NYC,,2024-10-02,2026-11-15,Bronx,Bronx County Family Court,2024,,,,,,
Shannon E Filbert,Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2024,,,,,,
Christopher C Brocato,Family Court Judge,,2025-01-01,2034-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Maria Arias,Family Court Judge NYC,,2019-01-01,2027-12-31,New York,New York County Family Court,2010,,,,,,
George E FufidioJr,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Westchester,Westchester County Court,2018,,,,,,
Moses M Howden,County Surrogate Family Court Judge,,2017-01-01,2026-12-31,Cattaraugus,Cattaraugus County Court (M-B),2017,,,,,,
Anna R Lewis,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Supreme Court,2020,,,,,,
Van H White,City Court Judge,,2023-01-01,2032-12-31,Monroe,Rochester City Court,2022,,,,,,
Ronna H GordonGalchus,Family Court Judge NYC,,2019-05-14,2029-05-13,Bronx,Bronx County Family Court,2019,,,,,,
Kathleen C Waterman,Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,
Arlene AGordon Oliver,Family Court Judge,,2018-01-01,2027-12-31,Westchester,Westchester County Family Ct,2018,,,,,,
Heather BrondiMarx,Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Saratoga,Saratoga County Family Court,2024,,,,,,
Kara Gerry,County Judge,,2026-01-01,2035-12-31,Orange,Orange County Supreme Court,2026,,,,,,
Daniel L Seiden,City Court Judge,,2025-01-01,2028-12-31,Broome,Binghamton City Court,2008,,,,,,
Deanne M Tripi,Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2014,,,,,,
Segal N Blakeman,Family Court Judge,,2024-01-01,2033-12-31,Nassau,Nassau County Family Court,2024,,,,,,
Ada D Medina,City Court Judge,,2023-01-01,2032-12-31,Westchester,Yonkers City Court,2022,,,,,,
Maxine S Broderick,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau,"Nassau District Ct, 2nd Dist",2018,,,,,,
Karen Kerr,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Suffolk,Suffolk County Family Court,2012,Suffolk,District,,,,
Eric C Schwenker,Family Court Judge,,2026-01-01,2035-12-31,Warren,Warren County Supreme Ct(M-B),2026,,,,,,
JaHarr S Pridgen,City Court Chief Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Erie,Buffalo City Court,2015,8,City,,,,
Gary Wilson,City Court Judge,,2023-01-01,2032-12-31,Erie,Buffalo City Court,2022,,,,,,
Alexandra R Bisesi,City Court Judge,,2026-01-01,2026-12-31,Westchester,Yonkers City Court,2026,,,,,,
Joseph R Cassidy,County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Tompkins,Tompkins County Court (M-B),2014,,,,,,
Leroy A D'Souza,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,New York,"NYC Civil Ct, New York County",2023,NYC,Civil,,,,
James A Saladino,District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 4th Dist",2019,,,,,,
Bernard J Graham,Surrogate Court Judge,,2024-01-01,2030-12-31,Kings,Kings County Surrogate's Court,2024,,,,,,
Alvin M Yearwood,Criminal Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,Bronx,Bronx County Supreme Court,2003,,,,,,
Arthur J DoranIII,City Court Chief Judge,,2024-01-01,2031-12-31,Westchester,Yonkers City Court,2004,,,,,,
Jennifer A Henry,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2009,,,,,,
Rhonda E Fischer,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau,Nassau County Court,2008,,,,,,
Melissa T Lewis,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,New York,New York County Criminal Court,2021,,,,,,
Ellen E Edwards,Civil Court Judge NYC,,2018-01-01,2027-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,
Rosemarie Montalbano,Surrogate Court Judge,,2022-01-01,2035-12-31,Kings,Kings County Surrogate's Court,2015,,,,,,
Mary K Smith,Surrogate Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Onondaga,Onondaga County Surrogate's Ct,2018,,,,,,
Kiel E Van Horn,City Court Judge,,2025-01-01,2030-12-31,Orange,Port Jervis City Court,2024,,,,,,
James F Bargnesi,County Judge,,2026-01-01,2035-12-31,Erie,Erie County Court,2016,,,,,,
Archana Rao,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Kings,Kings Supreme Criminal,2019,,,,,,
Pamela B Scheininger,Family Court Judge NYC,,2024-09-04,2034-08-02,Bronx,Bronx County Family Court,2024,,,,,,
Tammy S Robbins,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Nassau,Nassau County Court,2005,,,,,,
Eugene M Guarino,Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2016,,,,,,
Frederick G Reed,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Ontario,Ontario County Court (M-B),2002,,,,,,
Keshia J Espinal,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings,"NYC Criminal Ct, Kings County",2017,Kings,Criminal,,,,
Janet M McDonnell,Criminal Court Judge NYC,,2023-02-15,2032-11-30,New York,New York County Criminal Court,2023,,,,,,
Melinda H McGunnigle,County Judge,,2023-01-01,2032-12-31,Onondaga,Onondaga County Court,2023,,,,,,
Glenda M Hernandez,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens Supreme Criminal Term,2025,,,,,,
Diomarys EscanoBell,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,
William G KellyJr,City Court Judge,,2020-01-01,2029-12-31,Albany,"Albany City Court, Civil/Traff",2020,,,,,,
Mary A Kavanagh,Civil Court Judge NYC,,2023-01-01,2032-12-31,Richmond,"NYC Civil Ct, Richmond County",2023,,,,,,
Kathryn S Paek,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Criminal Court,2015,,,,,,
Lawrence J Knickerbocker,City Court Judge,,2025-01-01,2027-12-31,Cortland,Cortland City Court,1993,,,,,,
Brett A Preston,City Court Judge,,2023-01-01,2028-12-31,Fulton,Johnstown City Court,2015,,,,,,
Terence W Mccormick,Civil Court Judge NYC,,2026-01-01,2033-12-31,New York,New York County Criminal Court,2026,,,,,,
Anthony M Battisti,Criminal Court Judge NYC,,2023-10-31,2030-12-31,Queens,Queens Supreme Criminal Term,2021,,,,,,
Pierce F Cohalan,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2015,Suffolk,Town & Villiage,,,,
Gregory L Gliedman,Family Court Judge NYC,,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2019,,,,,,
Andrea R Clattenburg,City Court Judge,,2023-09-11,2026-12-31,Genesee,Genesee County Supreme Ct(M-B),2023,,,,,,
Michael J Sullivan,Family Court Judge,,2017-01-01,2026-12-31,Chautauqua,Chautauqua County Family Court,2017,,,,,,
Nilda Morales Horowitz,Family Court Judge,,2021-01-01,2029-12-31,Westchester,Westchester County Family Ct,2001,,,,,,
Connie Gonzalez,Family Court Judge NYC,,2025-01-01,2034-12-31,Queens,Queens County Family Court,2015,,,,,,
Jon E Budelmann,Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Cayuga,Cayuga County Surrogate's Ct,2022,,,,,,
Lisa M Petrocelli,District Court Judge,,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 1st Dist",2021,,,,,,
J Machelle Sweeting,Civil Court Judge NYC,ACT SUP CT JUS,2025-01-01,2034-12-31,New York,New York County Supreme Court,2015,,,,,,
Alison M Hamanjian,Family Court Judge NYC,ACT SUP CT JUS,2024-10-06,2034-10-05,Bronx,Bronx County Family Court,2017,Bronx,Family,,,,
Caroline E Morrison,County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Monroe,Monroe County Court,2014,,,,,,
Hollie S Levine,Family Court Judge,ACT CNTY JGE,2021-01-01,2030-12-31,Broome,Broome County Family Court,2021,,,,,,
Teneka E Frost,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Schenectady,Schenectady City Court,2018,,,,,,
Peter F Lane,Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,
Francine R Vero,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Saratoga,Saratoga Springs City Court,2017,,,,,,
Tracy C MacKenzie,Family Court Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Dutchess,Dutchess County Family Court,2016,,,,,,
Julia Brouillette,Family Court Judge,,2025-01-01,2034-12-31,Oneida,Oneida County Supreme Court,2015,,,,,,
Arthur B WilliamsJr,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2026-12-31,Wayne,Wayne County Court (M-B),2023,,,,,,
Kerry J Ward,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings,"NYC Criminal Ct, Kings County",2019,,,,,,
Michael E Ryan,Criminal Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Criminal Court,2022,,,,,,
Nicholas A DiCerboJr,City Court Judge,,2021-01-01,2030-12-31,Cattaraugus,Olean City Court,2021,,,,,,
Joseph A SabaJr,City Court Judge,,2021-01-01,2030-12-31,Oneida,Utica City Court,2021,,,,,,
Janice E Chen,Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,
Sarah M Brinski,City Court Judge,,2024-01-01,2029-12-31,Herkimer,Little Falls City Court,2023,,,,,,
Philip V Tisne,Criminal Court Judge NYC,,2025-11-14,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,
Thomas A Reynolds,City Court Judge,,2020-03-17,2026-03-16,Oswego,Oswego City Court,2002,,,,,,
Chad W Brown,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Fulton,Fulton County Court (M-B),2022,,,,,,
Dana M Catanzaro,Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Supreme Court,2024,,,,,,
Ellen R Greenberg,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau,Nassau County Family Court,2007,Nassau,Family,,,,
Louis P Gigliotti,Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2026-12-31,Oneida,Oneida County Surrogate's Ct,2009,,,,,,
Thomas M DiMillo,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Niagara,Lockport City Court,2005,,,,,,
Ann Scherzer,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Criminal Court,2012,,,,,,
Jerry M Iannece,Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2017,,,,,,
Joseph J Zavaglia,Family Court Judge,,2024-01-01,2033-12-31,Onondaga,Onondaga County Family Court,2024,,,,,,
Anne L Coonrad,City Court Judge,ACT FAM CT JGE,2023-01-01,2032-12-31,Rensselaer,Troy City Court,2022,,,,,,
Frank S Carrigan,District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk,Suffolk County Supreme Court,2022,,,,,,
Cori H Weston,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Criminal Court,2016,,,,,,
Steven H Buschman,Family Court Judge,,2025-01-01,2034-12-31,Cayuga,Cayuga County Court (M-B),2025,,,,,,
David L Goodwin,Criminal Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,
Rashied H McDuffie,City Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Court,2025,,,,,,
Timothy G Blatchley,City Court Judge,ACT CNTY JGE,2020-12-17,2030-12-16,Clinton,Plattsburgh City Court,2019,4,Town & Villiage,,,,
Joseph G Nesser,Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Monroe,Monroe County Family Court,2008,,,,,,
Christopher S Ciaccio,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2014,7,CJ/Surrogate Court,,,,
Daniel Quart,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,New York,New York County Criminal Court,2023,,,,,,
Ryan T McAllister,County Surrogate Family Court Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Schoharie,Schoharie County Court (M-B),2023,,,,,,
Jessica Baldi,Family Court Judge NYC,,2025-12-23,2035-12-22,Kings,Kings Supreme Criminal,2023,,,,,,
Patrick J Flanagan,City Court Judge,,2024-01-01,2029-12-31,Chenango,Norwich City Court,2018,,,,,,
Karen M Wilutis,County Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Suffolk,Suffolk County Supreme Court,2014,,,,,,
Jeffrey M Harrington,Family Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Family Court,2025,,,,,,
David M Ascher,County Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2024,,,,,,
Patrick H Torres,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,Kings Supreme Criminal,2023,,,,,,
Bernard C Cheng,District Court Judge,,2022-01-01,2027-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2011,,,,,,
Ross P Andrews,City Court Judge,,2025-01-01,2033-12-31,Onondaga,Syracuse City Court,2015,,,,,,
Les S Wright,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,
Javier Ortiz,Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,
Richard M Wallace,City Court Judge,ACT CNTY JGE,2025-01-01,2027-12-31,Tompkins,Ithaca City Court,2015,,,,,,
John H Crandall,County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Herkimer,Herkimer County Supreme Court,2011,,,,,,
Cary S Fischer,Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,
Marie F McCormack,District Court Judge,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 2nd Dist",2022,,,,,,
John J Reilly,City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Albany,"Albany City Court, Criminal Pt",2017,3,City,,,,
Deral D Givens,Family Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Monroe,Monroe County Family Court,2022,,,,,,
Melissa L Barrett,City Court Judge,ACT CNTY JGE,2020-01-01,2029-12-31,Monroe,Monroe County Supreme Court,2018,7,City,,,,
Phyllis Chu,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings,Kings Supreme Criminal,2016,,,,,,
Fania Jean,Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,
Gregory P Storie,County Judge,,2021-01-01,2030-12-31,St. Lawrence,St. Lawrence County Court,2021,,,,,,
Spencer J Ludington,Surrogate Court Judge,ACT SUP CT JUS,2023-01-01,2029-12-31,Oswego,Oswego County Surrogate's Ct,1997,,,,,,
Derrek T Thomas,City Court Judge,,2018-01-01,2027-12-31,Onondaga,Syracuse City Court,2017,,,,,,
John B Zollo,District Court Judge,,2025-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,
Holly Trexler,City Court Judge,,2018-01-01,2027-12-31,Albany,"Albany City Court, Criminal Pt",2017,,,,,,
Derek Champagne,Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Franklin,Franklin County Family Ct(M-B),2015,,,,,,
Lauren NortonLerner,Family Court Judge NYC,,2026-01-01,2028-03-24,Queens,Queens County Family Court,2025,,,,,,
James J FasoJr,City Court Judge,ACT FAM CT JGE,2018-01-01,2027-12-31,Niagara,Niagara Falls City Court,2018,8,Town & Villiage,,,,
Tamra D Walker,Family Court Judge NYC,,2021-06-14,2027-10-27,Queens,Queens County Family Court,2021,,,,,,
John P Gaughan,City Court Judge,,2025-04-01,2031-03-31,Erie,Lackawanna City Court,2025,,,,,,
David B Thurston,City Court Judge,ACT CNTY JGE,2019-01-01,2028-12-31,Cayuga,Cayuga County Family Ct(M-B),2014,,,,,,
Thomas D Williams,Family Court Judge,,2021-01-01,2030-12-31,Genesee,Genesee County Supreme Ct(M-B),2021,,,,,,
Stephanie Viscelli,City Court Judge,,2024-01-01,2033-12-31,Oneida,Rome City Court,2024,,,,,,
Jose A PadillaJr,Civil Court Judge NYC,,2025-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",1995,,,,,,
Robert J HelbockJr,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Richmond,"NYC Civil Ct, Richmond County",2020,Richmond,Civil,,,,
Erin P DeLabio,Family Court Judge,,2018-01-01,2027-12-31,Niagara,Niagara County Family Court,2018,,,,,,
James M HendryIII,Family Court Judge,,2024-01-01,2033-12-31,Orange,Orange County Family Court,2015,,,,,,
Robert E Pipia,Family Court Judge,,2026-01-01,2034-12-31,Nassau,Nassau County Family Court,2015,,,,,,
Adam D Michelini,County Surrogate Family Court Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Washington,Washington County Family(M-B),2015,,,,,,
Michele Davila,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,
Rosamaria Abbate,Family Court Judge,,2023-01-01,2032-12-31,Suffolk,Suffolk County Supreme Court,2023,,,,,,
Erica T Clarke,City Court Judge,,2022-01-01,2031-12-31,Onondaga,Syracuse City Court,2021,,,,,,
Mark W Blanchfield,Family Court Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Schenectady,Schenectady County Family Ct,2010,4,Family,,,,
Maija C Dixon,City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Monroe,Rochester City Court,2007,,,,,,
Raja Rajeswari,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2015,,,,,,
Paul V MorganJr,Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Rensselaer,Rensselaer County Surrogate,2014,,,,,,
David H Guy,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2026-12-31,Broome,Broome County Supreme Court,2011,,,,,,
Herbert J Moses,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,Kings Supreme Criminal,2017,,,,,,
Timothy L Virkler,Surrogate Court Judge,,2025-01-01,2034-12-31,Jefferson,Jefferson County Court,2025,,,,,,
Lisa W Lorman,City Court Judge,ACT CNTY JGE,2026-01-01,2033-12-31,Montgomery,Amsterdam City Court,2008,4,City,,,,
Maria Boultadakis,District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 2nd Dist",2025,,,,,,
Ignatius L Muscarella,District Court Judge,,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 2nd Dist",2015,,,,,,
Oma Deonarine,Civil Court Judge NYC,,2026-01-01,2029-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,
Darlene D'shon Harris,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Nassau,Nassau County Family Court,2015,,,,,,
Lisa S Headley,Civil Court Judge NYC,ACT SUP CT JUS,2026-01-01,2035-12-31,New York,New York County Supreme Court,2016,,,,,,
Michael G Hayes,Surrogate Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Dutchess,Dutchess County Supreme Court,2019,,,,,,
Samantha Miller Herrera,Family Court Judge,,2025-01-01,2034-12-31,Schenectady,Schenectady County Family Ct,2025,,,,,,
Cory R Dalmata,City Court Judge,,2021-04-01,2027-03-31,Fulton,Gloversville City Court,2015,,,,,,
Jessica R Wilcox,Family Court Judge,,2026-01-01,2035-12-31,Albany,Albany County Family Court,2025,,,,,,
Barry L Porsch,County Surrogate Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Seneca,Seneca County Supreme Ct(M-B),2019,,,,,,
Kenneth F Case,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Erie,Erie County Court,2011,,,,,,
Sophia B Hershman,Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Sup Ct Civil Term,2023,,,,,,
Shahabuddeen A Ally,Civil Court Judge NYC,ADM JGE ACT SUP CT JS,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,
Veronica R Irwin,District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2024,,,,,,
Scott L Volkman,City Court Judge,,2019-01-01,2028-12-31,Dutchess,Poughkeepsie City Court,2019,,,,,,
Tehilah HR Kahan,Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,
Vincent W Versaci,Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Schenectady,Schenectady County Court,2003,,,,,,
Richard W RichJr,County Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Chemung,Chemung County Court (M-B),2014,,,,,,
Jason D Flemma,Family Court Judge,,2022-01-01,2031-12-31,Oneida,Oneida County Family Court,2022,,,,,,
