statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Family Court Judge NYC,,2025-10-30,2035-10-29,Bronx,Bronx County Family Court,2008,,,,,,,David J Kaplan
Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk,Suffolk County Family Court,2017,,,,,,,Frank A Tantone
Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,"NYC Civil Ct, New York County",2025,,,,,,,Alice T Tien
Family Court Judge NYC,,2023-02-15,2029-07-21,Bronx,Bronx County Family Court,2023,,,,,,,Janette CortesGomez
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Onondaga,Syracuse City Court,2002,5,City,,,,,James H Cecile
Family Court Judge,,2025-01-01,2034-12-31,Rockland,Rockland County Family Court,2025,,,,,,,Andrea F Composto
Civil Court Judge NYC,,2025-01-01,2034-12-31,Queens,"NYC Civil Court, Queens County",2025,,,,,,,Amish R Doshi
Civil Court Judge NYC,,2022-01-01,2026-12-31,Queens,"NYC Civil Court, Queens County",2022,,,,,,,Joseph F Kasper
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Criminal Court,2012,,,,,,,Curtis J Farber
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Livingston,Livingston County Court (M-B),2020,,,,,,,Kevin G Vanallen
Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Warren,Warren County Supreme Ct(M-B),2017,,,,,,,Ted M Wilson
County Surrogate Family Court Judge,,2021-01-01,2027-12-31,Otsego,Otsego County Supreme Ct (M-B),2021,,,,,,,Michael F Getman
Family Court Judge,,2024-01-01,2033-12-31,Erie,Erie County Family Court,2014,,,,,,,Mary G Carney
Family Court Judge,,2026-01-01,2035-12-31,Orange,Orange County Supreme Court,2026,,,,,,,Amanda B Brady
Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,Bronx,Bronx County Family Court,2025,,,,,,,Angel Cruz
Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,,Linda Wilson
Family Court Judge,,2021-01-01,2030-12-31,Erie,Erie County Family Court,2021,,,,,,,Kelly A Brinkworth
County Judge,,2019-01-01,2029-12-31,Erie,Erie County Court,2019,,,,,,,Suzanne Maxwell Barnes
County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Ulster,Ulster County Court,2020,,,,,,,Bryan E Rounds
District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk,Suffolk County Court,2012,,,,,,,James A McDonaugh
Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Ulster,Ulster County Family Court,2022,,,,,,,Sarah Rakov
Civil Court Judge NYC,,2022-01-01,2029-12-31,New York,"NYC Civil Ct, New York County",2022,,,,,,,Betty Lugo
Family Court Judge NYC,,2025-12-29,2030-12-28,Richmond,Richmond County Family Court,2010,,,,,,,Karen B Wolff
Surrogate Court Judge,,2013-01-01,2026-12-31,Bronx,Bronx County Surrogate's Court,2005,,,,,,,Nelida MalaveGonzalez
Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Saratoga,Saratoga County Family Court,2021,,,,,,,Amy J Knussman
Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,,Pamela P Fynes
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens,Queens Supreme Criminal Term,2018,Queens,Criminal,,,,,Edwin I Novillo
County Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Family Ct,2017,,,,,,,Melissa Loehr
District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk,"Suffolk Dist Ct, First Dist",2023,,,,,,,Mary C Mullen
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Putnam,Putnam County Supreme Ct(M-B),2020,,,,,,,Joseph J SpoffordJr
City Court Judge,ACT CNTY JGE,2017-01-01,2026-12-31,Saratoga,Saratoga Springs City Court,2009,,,,,,,Jeffrey D Wait
County Surrogate Family Court Judge,ACT SUP CT JUS,2024-01-01,2028-12-31,Columbia,Columbia County Court (M-B),2016,,,,,,,Brian J Herman
County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk,Suffolk County Court,2016,,,,,,,Anthony SenftJr
Criminal Court Judge NYC,ACT SUP CT JUS,2017-01-01,2026-12-31,Queens,Queens Supreme Criminal Term,2016,,,,,,,Toni M Cimino
