statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge_cj_court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court,judge
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Queens,Queens Supreme Criminal Term,2011,,,,,,,Gia L Morris
Civil Court Judge NYC,,2018-01-01,2026-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,,Sandra E Roper
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Criminal Court,2019,,,,,,,Robert Rosenthal
Family Court Judge,ACT SUP CT JUS,2024-01-01,2030-12-31,Dutchess,Dutchess County Family Court,2014,9,Family,,,,,Joseph A Egitto
City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Chautauqua,Jamestown City Court,2005,,,,,,,George Panebianco
County Surrogate Family Court Judge,,2020-01-01,2029-12-31,Schuyler,Schuyler County Court (M-B),2020,,,,,,,Matthew C Hayden
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Queens,Queens Supreme Criminal Term,2015,,,,,,,Joanne B Watters
Family Court Judge NYC,ACT SUP CT JUS,2022-08-31,2032-08-30,Kings,Kings Supreme Criminal,2016,Kings,Family,,,,,Gilbert A Taylor
Family Court Judge,,2021-01-01,2030-12-31,Herkimer,Herkimer County Supreme Court,2021,,,,,,,Thaddeus J Luke
City Court Judge,,2024-01-01,2033-12-31,Oswego,Oswego City Court,2023,,,,,,,Timothy J Kirwan
Surrogate Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Orange,Orange County Surrogate's Ct,2020,,,,,,,Timothy P McElduffJr
Civil Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York,New York County Supreme Court,2019,,,,,,,Nicholas W Moyne
Criminal Court Judge NYC,ACT SUP CT JUS,2026-01-01,2032-12-31,Kings,Kings Supreme Criminal,2021,,,,,,,Joshua A Glick
Family Court Judge,,2025-01-01,2034-12-31,Erie,Erie County Family Court,2025,,,,,,,Kara A Buscaglia
Family Court Judge,,2020-01-01,2029-12-31,Westchester,Westchester County Court,2020,,,,,,,Wayne A Humphrey
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Janice A Robinson
Civil Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,New York,New York County Supreme Court,2024,,,,,,,Yael T Wilkofsky
District Court Judge,,2025-01-01,2030-12-31,Nassau,"Nassau District Ct, 1st Dist",2025,,,,,,,Ryan E Cronin
Civil Court Judge NYC,,2026-01-01,2026-12-31,New York,"NYC Civil Ct, New York County",2026,,,,,,,Natalie P Barros
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Fulton,Fulton County Family Court,2019,,,,,,,James G McAuliffeJr
Family Court Judge,,2024-01-01,2033-12-31,Nassau,Nassau County Family Court,2024,,,,,,,Eric P Milgrim
Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2011,Suffolk,Family,,,,,Caren L Loguercio
City Court Judge,,2017-01-01,2026-12-31,Ulster,Kingston City Court,2010,,,,,,,Philip W Kirschner
Family Court Judge NYC,,2022-12-01,2031-11-30,Kings,Kings Supreme Criminal,2017,,,,,,,Melody Glover
Family Court Judge,,2026-01-01,2035-12-31,Ulster,Ulster County Family Court,2026,,,,,,,Lara Olivieri
County Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Albany,Albany County Supreme Court,2016,3,Superior Criminal Courts,,,,,Andra Ackerman
City Court Judge,ACT CNTY JGE,2024-01-01,2033-12-31,Erie,Buffalo City Court,2024,,,,,,,Tiffany R Perry
Family Court Judge NYC,ACT SUP CT JUS,2019-10-02,2029-10-01,Bronx,Bronx County Sup Ct Civil Term,2012,,,,,,,Sarah P Cooper
Civil Court Judge NYC,,2024-01-01,2033-12-31,Kings,"NYC Civil Court, Kings County",2024,,,,,,,Monique J Holaman
City Court Judge,,2024-01-01,2033-12-31,Chautauqua,Jamestown City Court,2024,,,,,,,John I LaMancusoJr
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Wyoming,Wyoming County Family Ct(M-B),2020,8,Family,,,,,Keith D Kibler
District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk,Suffolk County Family Court,2024,,,,,,,Evan S Tanenbaum
Family Court Judge,ACT SUP CT JUS,2022-01-01,2027-12-31,Dutchess,Dutchess County Family Court,2012,,,,,,,Denise M Watson
District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Nassau,"Nassau District Ct, 2nd Dist",2008,Nassau,District,,,,,Tricia M Ferrell
City Court Judge,,2021-01-01,2030-12-31,Westchester,Yonkers City Court,2021,,,,,,,Daniel P Romano
Family Court Judge NYC,,2025-12-30,2035-12-27,Kings,Kings Supreme Criminal,2025,,,,,,,Jacqueline CabreraFernandez
Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Oneida,Oneida County Family Court,1994,5,Family,,,,,Randal B Caldwell
Civil Court Judge NYC,,2025-01-01,2030-12-31,New York,New York County Criminal Court,2025,,,,,,,Elizabeth Y Shamahs
Civil Court Judge NYC,,2020-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2020,,,,,,,Jessica I Bourbon
Family Court Judge,,2025-01-01,2034-12-31,Niagara,Niagara County Supreme Court,2025,,,,,,,Angela StammPhilipps
Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,NYC Criminal Ct - Bronx County,2026,,,,,,,Lauvienska Polanco
Civil Court Judge NYC,,2026-01-01,2035-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2026,,,,,,,Matthew J Santamauro
Criminal Court Judge NYC,,2025-06-04,2030-12-31,Kings,"NYC Criminal Ct, Kings County",2025,,,,,,,Orville Reynolds
City Court Judge,,2024-02-01,2030-01-31,Chautauqua,Dunkirk City Court,2018,,,,,,,Rachel Roberts
County Judge,,2026-01-01,2035-12-31,Erie,Erie County Court,2026,,,,,,,Jessica A Kulpit
Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx,NYC Criminal Ct - Bronx County,2024,,,,,,,Anna Mikhaleva
Family Court Judge,ACT SUP CT JUS,2021-01-01,2028-12-31,Westchester,Westchester County Supreme Ct,2011,,,,,,,Michelle I Schauer
City Court Judge,,2018-01-01,2027-12-31,Chautauqua,Dunkirk City Court,1993,,,,,,,John M Kuzdale
City Court Judge,,2025-01-01,2034-12-31,Westchester,Peekskill City Court,2025,,,,,,,Sophia L Trott
City Court Judge,ACT CNTY JGE,2024-01-01,2031-12-31,Monroe,Rochester City Court,2004,,,,,,,John E Elliott
District Court Judge,,2026-01-01,2031-12-31,Suffolk,Suffolk County Family Court,2025,,,,,,,James F Leonick
County Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Nassau,Nassau County Court,2026,,,,,,,Nancy Nicotrabednar
County Surrogate Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Warren,Warren County Supreme Ct(M-B),2021,,,,,,,Robert A Smith
Family Court Judge,,2025-01-01,2034-12-31,Westchester,Westchester County Supreme Ct,2025,,,,,,,Maritza FugaroNorton
City Court Judge,,2025-01-01,2034-12-31,Erie,Buffalo City Court,2025,,,,,,,Erin E Hart
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2022,,,,,,,Jessica I Flores
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,,Ralph L Wolf
Family Court Judge NYC,ACT SUP CT JUS,2016-03-09,2026-03-08,Bronx,Bronx County Supreme Court,1997,,,,,,,Gayle P Roberts
Family Court Judge NYC,,2021-01-01,2030-06-01,Bronx,Bronx County Family Court,2020,,,,,,,Ashley B Black
City Court Judge,,2024-07-25,2030-07-24,Albany,Cohoes City Court,2024,,,,,,,Brett M Knowles
District Court Judge,,2026-01-01,2031-12-31,Nassau,"Nassau District Ct, 1st Dist",2026,,,,,,,Diana Hedayati
City Court Judge,ACT CNTY JGE,2018-01-01,2027-12-31,Chenango,Norwich City Court,2018,,,,,,,Michael J Genute
Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2023,,,,,,,Robert A Markoff
Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Sullivan,Sullivan County Family Court,2023,,,,,,,Jacqueline Ricciani
Criminal Court Judge NYC,,2026-01-01,2027-12-31,Queens,Queens Supreme Criminal Term,2024,,,,,,,Nancy F Carrington
Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-23,2028-12-31,Richmond,Richmond Cnty Supreme Ct-Civil,2021,Richmond,Criminal,,,,,Biju J Koshy
Family Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,New York County Supreme Court,2019,,,,,,,Linda M Capitti
President Board of Judges,,2023-01-01,2028-12-31,Nassau,"Nassau District Ct, 1st Dist",2022,,,,,,,Jaclene A Agazarian
City Court Judge,,2022-08-17,2028-08-16,Columbia,Hudson City Court,2022,,,,,,,Cheryl Roberts
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2029-12-31,New York,New York County Supreme Court,2021,,,,,,,Eric B Schumacher
Criminal Court Judge NYC,,2024-12-17,2028-12-31,Queens,Queens Supreme Criminal Term,2024,,,,,,,Lana Schlesinger
Family Court Judge NYC,,2025-01-01,2034-12-31,Kings,Kings Supreme Criminal,2025,,,,,,,Dawn M Orsatti
County Surrogate Family Court Judge,,2026-01-01,2035-12-31,Allegany,Allegany County Supr Ct(M-B),2026,,,,,,,Ian M Jones
County Surrogate Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Tompkins,Tompkins County Supr Ct(M-B),2013,,,,,,,Scott A Miller
City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Chemung,Elmira City Court,2021,6,City,,,,,Peter F Finnerty
Civil Court Judge NYC,,2025-01-01,2029-12-31,Bronx,Bronx County Sup Ct Civil Term,2025,,,,,,,Eliezer Rodriguez
County Surrogate Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Genesee,Genesee County Supreme Ct(M-B),2022,,,,,,,Melissa L Cianfrini
County Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Broome,Broome County Court,2014,6,Town & Villiage,,,,,Carol A Cocchiola
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,Kings Supreme Criminal,2017,,,,,,,Margaret W Martin
County Judge,,2021-01-01,2030-12-31,Orange,Orange County Supreme Court,2021,,,,,,,Hyun Chin Kim
Surrogate Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Saratoga,Saratoga County Surrogate's Ct,2024,,,,,,,Jonathan G Schopf
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,"NYC Civil Ct, New York County",2012,,,,,,,Paul A Goetz
Family Court Judge NYC,,2022-12-01,2032-11-30,Kings,Kings Supreme Criminal,2021,,,,,,,Robert D Hettleman
Civil Court Judge NYC,,2026-01-01,2035-12-31,New York,New York County Criminal Court,2026,,,,,,,Onya Brinson
City Court Judge,,2026-01-01,2035-12-31,Albany,"Albany City Court, Civil/Traff",2025,,,,,,,Marisa Franchini
Civil Court Judge NYC,,2025-01-01,2034-12-31,Kings,"NYC Civil Court, Kings County",2025,,,,,,,Alexis N Riley
County Judge,,2026-01-01,2035-12-31,Dutchess,Dutchess County Supreme Court,2026,,,,,,,Karen D EdelmanReyes
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,New York,New York County Supreme Court,2022,,,,,,,Hasa A Kingo
City Court Judge,ACT CNTY JGE,2023-01-01,2032-12-31,Monroe,Monroe County Supreme Court,2022,,,,,,,LaToya S Lee
Civil Court Judge NYC,,2018-01-01,2027-12-31,Kings,"NYC Civil Court, Kings County",2018,,,,,,,Elena Baron
City Court Judge,ACT CNTY JGE,2026-01-01,2035-12-31,Ontario,Canandaigua City Court,2025,,,,,,,Margaret M Reston
Criminal Court Judge NYC,,2022-12-16,2033-11-30,Queens,Queens Supreme Criminal Term,2021,,,,,,,Marty J Lentz
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Bronx,Bronx County Supreme Court,2023,,,,,,,Eugene D Bowen
Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings,"NYC Criminal Ct, Kings County",2008,,,,,,,Frederick C Arriaga
Family Court Judge NYC,,2021-12-01,2028-04-23,New York,New York County Family Court,2018,,,,,,,Jonathan H Shim
Family Court Judge,,2024-01-01,2033-12-31,Onondaga,Oneida County Family Court,2024,,,,,,,Diane E Plumley
City Court Judge,,2023-01-01,2032-12-31,Erie,Buffalo City Court,2022,,,,,,,Samuel P DavisSr
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Bronx,Bronx County Supreme Court,2020,,,,,,,Eunhai G Park
Family Court Judge NYC,,2022-08-31,2032-08-30,New York,New York County Family Court,2011,,,,,,,Amanda E White
Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings,Kings Supreme Criminal,2018,,,,,,,Deepa Ambekar
County Judge,,2023-01-01,2032-12-31,Rockland,Rockland County Supreme Court,2023,,,,,,,Maurice D Williams
County Judge,ACT SUP CT JUS,2026-01-01,2035-12-31,Suffolk,Suffolk County Court,2026,,,,,,,Bryan L Browns
Civil Court Judge NYC,ACT FAM CT JGE,2024-01-01,2033-12-31,Kings,Kings Supreme Criminal,2024,,,,,,,Lola OguntundeWaterman
Civil Court Judge NYC,,2026-01-01,2035-12-31,Bronx,Bronx County Sup Ct Civil Term,2026,,,,,,,Shekera Anessa Algarin
City Court Judge,,2025-01-01,2033-12-31,Orange,Newburgh City Court,2015,,,,,,,Paul D Trachte
Family Court Judge,,2026-01-01,2035-12-31,Rockland,Rockland County Family Court,2026,,,,,,,Nabeela Mcleod
Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings,"NYC Civil Court, Kings County",2023,,,,,,,Sherveal R Mimes
Family Court Judge NYC,,2025-01-01,2033-12-31,Queens,Queens County Family Court,2013,,,,,,,Adetokunbo O Fasanya
Civil Court Judge NYC,,2026-01-01,2035-12-31,Queens,Queens Supreme Criminal Term,2026,,,,,,,Thomas Wright
Family Court Judge NYC,ACT SUP CT JUS,2025-02-10,2026-12-31,New York,"NYC Civil Ct, New York County",1998,,,,,,,Tandra L Dawson
City Court Judge,,2025-01-03,2031-01-02,Cayuga,Cayuga County Court (M-B),2019,,,,,,,Kristin L Garland
Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx,NYC Criminal Ct - Bronx County,2025,,,,,,,Harold E BahrIII
Criminal Court Judge NYC,ACT SUP CT JUS,2023-04-19,2032-12-31,New York,New York County Criminal Court,2023,,,,,,,Jung A Park
Civil Court Judge NYC,ACT FAM CT JGE,2025-01-01,2034-12-31,New York,New York County Family Court,2025,,,,,,,Crystal R Villasenor
Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx,Bronx County Supreme Court,2022,,,,,,,Verena C Powell
City Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Erie,Buffalo City Court,2022,,,,,,,Carrie A Phillips
Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,New York,"NYC Civil Ct, New York County",2020,,,,,,,Ashlee Y Crawford
City Court Judge,,2022-01-01,2031-12-31,Dutchess,Beacon City Court,2022,,,,,,,Gregory J Johnston
Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-31,2030-12-31,Kings,Kings Supreme Criminal,2021,,,,,,,Carolina Holderness
Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2032-12-31,New York,New York County Criminal Court,2013,,,,,,,Steven M Statsinger
Civil Court Judge NYC,,2026-01-01,2033-12-31,Queens,"NYC Civil Court, Queens County",2026,,,,,,,Eve Cho Guillergan
Civil Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,New York,New York County Supreme Court,2018,,,,,,,Richard A Tsai
Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,New York County Criminal Court,2025,,,,,,,Ilona B Coleman
Criminal Court Judge NYC,ACT SUP CT JUS,2022-12-01,2032-11-30,Bronx,Bronx County Supreme Court,2021,,,,,,,Giyang An
Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings,Kings Supreme Criminal,2015,,,,,,,Elizabeth N Warin
Family Court Judge,ACT CNTY JGE,2022-01-01,2031-12-31,Broome,Broome County Family Court,2022,,,,,,,Veronica M Gorman
Family Court Judge NYC,,2023-01-01,2032-12-31,New York,New York County Family Court,2021,,,,,,,Stephanie C Schwartz
Criminal Court Judge NYC,,2024-04-04,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,,Edward F Daniels
Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Suffolk,Suffolk County Family Court,2022,,,,,,,Mary E Porter
Criminal Court Judge NYC,ACT SUP CT JUS,2022-10-11,2031-12-31,New York,New York County Criminal Court,2021,,,,,,,Rachel S Pauley
Civil Court Judge NYC,,2025-01-01,2034-12-31,New York,"NYC Civil Ct, New York County",2025,,,,,,,Allison R Greenfield
Family Court Judge,,2020-01-01,2029-12-31,Suffolk,Suffolk County Family Court,2020,,,,,,,Andrea H Schiavoni
Surrogate Court Judge,,2013-01-01,2026-12-31,New York,New York County Surrogate's Ct,2007,,,,,,,Rita M Mella
Family Court Judge,ACT SUP CT JUS,2024-01-01,2033-12-31,Monroe,Monroe County Supreme Court,2023,,,,,,,Maria Cubillos Reed
Family Court Judge NYC,ACT SUP CT JUS,2023-12-31,2033-12-30,Richmond,Richmond County Family Court,2016,Richmond,Family,,,,,Ben DarvilJr
City Court Judge,,2020-01-01,2029-12-31,Genesee,Batavia City Court,2015,,,,,,,Durin B Rogers
Civil Court Judge NYC,ACT SUP CT JUS,2023-01-01,2032-12-31,Kings,"NYC Criminal Ct, Kings County",2023,,,,,,,Devin R Robinson
Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,New York,New York County Criminal Court,2018,,,,,,,Zhuo Wang
Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Monroe,Monroe County Supreme Court,2019,7,"CJ/Diversity,Equity,Inclusions",,,,,Fatimat O Reid
Criminal Court Judge NYC,,2024-04-04,2028-12-31,Kings,"NYC Criminal Ct, Kings County",2024,,,,,,,Christopher E Whitehair
Criminal Court Judge NYC,ACT FAM CT JGE,2021-01-01,2030-12-31,Queens,Queens County Family Court,2019,,,,,,,Quynda L Santacroce
Civil Court Judge NYC,,2019-01-01,2028-12-31,New York,"NYC Civil Ct, New York County",2019,,,,,,,Wendy Changyong Li
City Court Judge,,2026-01-01,2035-12-31,Schenectady,Schenectady City Court,2025,,,,,,,Oscar AQuintero Palacio
Associate Judge COA,,2021-06-08,2035-06-07,Nassau,Court of Appeals,2021,,,,,,,Madeline Singas
,,,,New York,Appellate Division 1st Department,2012,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,ADT/01/12,Ellen F Gesmer
,,,,Kings,Kings Supreme,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Michael D Kitsis
Supreme Court Justice,,2025-01-01,2034-12-31,Erie,8th Judicial District,2011,,,,,,,Catherine R Nugent
Supreme Court Justice,,2020-01-01,2030-12-31,Westchester,9th Judicial District,2020,,,,,,9/SJ/SUPREME,Nancy Quinn Koba
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2028-12-31,Greene,3rd Judicial District,2015,,,,,,ADT/03/02,Lisa M Fisher
,,,,Westchester,9th Judicial District,2005,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,9/SJ/TOWN&VILLAGE,William J Giacomo
Supreme Court Justice,,2025-01-01,2034-12-31,Kings,Kings Supreme,2025,,,,,,,Adam D Perlmutter
Supreme Court Justice,,2023-01-01,2027-12-31,New York,NYC Supreme Civil,2023,,,,,,,Lisa A Sokoloff
Supreme Court Justice,,2017-01-01,2029-12-31,Kings,Kings Supreme,2017,,,,,,,Reginald A Boddie
Supreme Court Justice,,2019-01-01,2028-12-31,Kings,Kings Supreme,2005,,,,,,,Eric I Prus
,,2012-01-01,2022-12-31,Oneida,5th Judicial District,2012,,,"SUP CT JUS, CERT",2026-01-01,2028-12-31,05/CJ/CHILD VICTIM ACT,Patrick F MacRae
Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Niagara,8th Judicial District,2023,,,,,,,Mario A Giacobbe
Supreme Court Justice,,2021-01-01,2026-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,,,,,Kathy G Bergmann
Supreme Court Justice,,2024-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,,Jessica G EarleGargan
Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Monroe,7th Judicial District,2016,,,,,,AJ/07/SUP,William K Taylor
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2020-01-01,2033-12-31,Albany,3rd Judicial District,2020,,,,,,ADT/03/08,Justin O Corcoran
Supreme Court Justice,,2025-01-01,2036-12-31,Orange,9th Judicial District,2025,,,,,,,Kyle C McGovern
Supreme Court Justice,,2018-01-01,2031-12-31,Bronx,Bronx Supreme Civil,2004,,,,,,,Alison Y Tuitt
Court of Claims Judge,SUP CT JUSTICE,2018-06-20,2026-06-30,New York,NYC Supreme Criminal,2018,,,,,,,Michele S Rodney
,,,,Kings,Appellate Division 2nd Department,1999,,,"ASC JUS, AP DIV, TPCT",2022-01-01,2027-12-31,ADT/02/15,Cheryl E Chambers
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,New York,Appellate Division 1st Department,2017,,,,,,ADT/01/13,Kelly O'Neill Levy
Supreme Court Justice,,2017-01-01,2027-12-31,Nassau,10th Judicial District - Nassau,2017,,,,,,,Edmund M Dane
,,,,Queens,Queens Supreme,2007,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Kevin J Kerrigan
,,,,New York,Appellate Division 1st Department,1998,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,ADT/01/11,David Friedman
Supreme Court Justice,,2026-01-01,2035-12-31,Lewis,5th Judicial District,2026,,,,,,,John Dillon
Supreme Court Justice,,2026-01-01,2039-12-31,Queens,Queens Supreme,2026,,,,,,,Frances Y Wang
,,2019-01-01,2022-12-31,Westchester,9th Judicial District,2019,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,,David F Everett
Supreme Court Justice,,2020-01-01,2033-12-31,Monroe,7th Judicial District,2020,,,,,,,Kevin M Nasca
Court of Claims Judge,ADMNV JGE,2018-08-27,2027-08-26,New York,NYC Supreme Criminal,2015,,,,,,AJ/NY/SUP/CR,Ellen N Biben
Court of Claims Judge,,2024-06-06,2027-08-26,Cortland,6th Judicial District,2024,,,,,,6/SJ/TOWN&VILLAGE,Elizabeth A Burns
Supreme Court Justice,,2023-01-01,2035-12-31,Kings,Appellate Division 2nd Department,2023,,,,,,,Craig S Walker
Supreme Court Justice,,2021-01-01,2034-12-31,Onondaga,5th Judicial District,2021,,,,,,,Rory A McMahon
Supreme Court Justice,,2022-01-01,2035-12-31,Bronx,Bronx Supreme Civil,2022,,,,,,,Patsy D Gouldborne
Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-12-31,Queens,Queens Supreme,2017,,,,,,,Peter ValloneJr
Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2033-03-31,Monroe,7th Judicial District,2022,,,,,,,Stephen T Miller
Supreme Court Justice,"SUP CT JUS, DST 1 AT",2019-01-01,2032-12-31,New York,NYC Supreme Civil,2019,,,,,,ATM/01/0112/04,Alexander M Tisch
,,,,Kings,Kings Supreme,2017,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Peter Paul Sweeney
Supreme Court Justice,,2019-01-01,2028-12-31,Broome,6th Judicial District,2019,,,,,,,Joseph A McBride
Supreme Court Justice,,2024-01-01,2037-12-31,Queens,Queens Supreme,2024,,,,,,,Karen Lin
Supreme Court Justice,,2023-01-01,2036-12-31,Bronx,Bronx Supreme Civil,2023,,,,,,,Fidel E Gomez
,,,,Niagara,8th Judicial District,2015,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,,Dennis E Ward
,,,,Suffolk,10th Judicial District - Suffolk,2012,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,John B Collins
Supreme Court Justice,,2024-01-01,2029-12-31,New York,NYC Supreme Civil,2024,,,,,,,Leslie A Stroth
Associate Judge COA,,2016-02-08,2030-02-07,New York,Court of Appeals,2016,,,,,,,Michael J Garcia
Supreme Court Justice,,2022-01-01,2031-12-31,Queens,Queens Supreme,2022,,,,,,,Laurentina M Butler
Supreme Court Justice,,2018-01-01,2031-12-31,New York,NYC Supreme Civil,2018,,,,,,,Verna L Saunders
,,2012-01-01,2024-12-31,Monroe,7th Judicial District,2012,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,,Thomas E Moran
Court of Claims Judge,,2024-04-01,2033-03-31,Monroe,Court of Claims,2013,,,,,,,J Scott Odorisi
Supreme Court Justice,,2022-01-01,2035-12-31,Erie,8th Judicial District,2022,,,,,,8/SJ/SUPREME,John B Licata
Supreme Court Justice,,2018-01-01,2031-12-31,Monroe,7th Judicial District,2018,,,,,,7/SJ/MATRIMONIAL,John B GallagherJr
Supreme Court Justice,"SUP CT JUS, DST 12 AT",2021-01-01,2034-12-31,Bronx,Bronx Supreme Civil,2021,,,,,,ATM/01/0112/05,Bianka Perez
Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,,Francis Ricigliano
Supreme Court Justice,,2019-01-01,2032-12-31,Kings,Kings Supreme,2019,,,,,,,Devin P Cohen
Supreme Court Justice,,2023-01-01,2036-12-31,Nassau,10th Judicial District - Nassau,2023,,,,,,,Lisa A Cairo
Supreme Court Justice,,2021-01-01,2034-12-31,Suffolk,10th Judicial District - Suffolk,2021,,,,,,,Valerie M Cartright
,,,,New York,NYC Supreme Criminal,2025,,,"SUP CT JUS, CERT",2026-01-01,2031-12-31,,Jonathan H Svetkey
Supreme Court Justice,,2016-01-01,2029-12-31,Warren,4th Judicial District,2016,,,,,,,Martin D Auffredou
Court of Claims Judge,,2021-06-08,2030-03-22,New York,Court of Claims,2021,,,,,,,Linda K Mejias
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2025-01-01,2038-12-31,Erie,Appellate Division 4th Department,2011,,,,,,ADT/04/03,Henry J NowakJr
,,,,Albany,3rd Judicial District,2019,,,"SUP CT JUS, CERT",2024-01-01,2029-12-31,,Peter A Lynch
,"ASC JUS, AP DIV, TPCT",,,Kings,Appellate Division 2nd Department,1997,,,"ASC JUS, AP DIV, TPCT",2023-01-01,2028-12-31,ADT/02/09,Deborah A Dowling
Supreme Court Justice,ADMNV JGE,2017-01-01,2026-12-31,Onondaga,5th Judicial District,2003,,,,,,AJ/05/SUP,Deborah H Karalunas
Supreme Court Justice,,2026-01-01,2032-12-31,Jefferson,5th Judicial District,2012,,,,,,5/CJ/ASBESTOS MATT,James P McClusky
Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2019-01-01,2032-12-31,New York,Bronx Supreme Criminal,2019,,,,,,ADT/01/15,Marsha D Michael
Supreme Court Justice,,2022-01-01,2035-12-31,Rensselaer,3rd Judicial District,2022,,,,,,,Laura M Jordan
Court of Claims Judge,,2025-06-10,2034-05-14,Bronx,Bronx Supreme Criminal,2025,,,,,,,Jay Young Kim
